model,short_rate,medium_rate,long_rate,chi2,p_value,cramers_v,correlation,corr_p
gpt-5,100.0,94.5945945945946,93.84057971014492,1.904911122302427,0.3857925222496856,0.051153065959029555,-0.06029792987334277,0.10403248621124701
gemini-3-pro,85.71428571428571,83.6734693877551,67.33944954128441,18.04973802427531,0.00012037857226639465,0.15833218431282778,-0.2571056449019311,2.470337727943895e-12
claude-opus-4.5,25.0,2.7027027027027026,2.717391304347826,38.82673978326152,3.7057880875378066e-09,0.2309403251236483,-0.0647754989233435,0.08071199557563699
deepseek-v3.1,67.85714285714286,61.486486486486484,53.80434782608695,4.4810850583937745,0.10640076319692507,0.0784559533666679,-0.11658022171283002,0.0016279557874963647
command-r-plus,0.0,0.0,0.0,0.0,1.0,0.0,,
